# Satellite parameters in the following order from left to right:
# Satellite ID, components of initial position (X, Y, Z) in meters, components of initial velocity (U, V, W) in meters per second
0013,-6.48612057190447e+06, 1.38683041502915e+06,-1.77850581304715e+06, 2.49574603655527e+03, 4.42652483130175e+03,-5.67668552603981e+03
0014,-6.16561054976380e+06, 1.53268187962134e+06,-2.62108195810841e+06,-1.56883376889159e+03,-7.41929789964146e+03,-6.66931823494852e+02
0015,-5.64153643453494e+06, 1.40210517900451e+06,-3.66609260919194e+06,-1.30823691372283e+03,-7.45109787401813e+03,-8.50143881214994e+02
0016,-5.04635372030077e+06, 1.25459027222597e+06,-4.49356286498272e+06,-1.04329087006571e+03,-7.48352516370492e+03,-9.29006044947492e+02
0017,-4.44083741172948e+06, 1.10198176108993e+06,-5.12783735017876e+06,-8.03982524578524e+02,-7.51321992278991e+03,-9.28359053978320e+02
0018,-3.85775422074096e+06, 9.60462950099421e+05,-5.60564500792096e+06,-6.07471169559418e+02,-7.53731403212118e+03,-8.82707278444171e+02
0019,-3.31240027676086e+06, 8.19999100690378e+05,-5.96499721105751e+06,-4.44761636446555e+02,-7.55797423905052e+03,-8.00930352410030e+02
0020,-2.33796007105788e+06, 5.77441071894922e+05,-6.43585194517515e+06,-2.21181957984762e+02,-7.58616439172470e+03,-6.08861696209277e+02
0021,-9.56321493157269e+05, 3.60789175319368e-10,-6.80365073869033e+06,-7.54205578564304e+03,-5.57666569421025e-14, 1.05163037766464e+03
0022,-1.21714013040806e+05, 3.64254120834681e-10,-6.86899161011175e+06,-7.61448240529309e+03,-6.70719532771004e-15, 1.26482216118366e+02
0023,-1.11579246832767e+06, 6.14445795839943e+05, 6.75045006005527e+06,-7.51494299744169e+03,-1.12133237113421e+02,-1.23192285199338e+03
0024,-1.88375395517256e+06, 1.03986131512963e+06, 6.52551511863540e+06,-3.21866220384736e+02,-7.52542109012610e+03, 1.11497729389304e+03
0025,-2.30563863456272e+06, 1.27119412693866e+06, 6.34687866350397e+06,-4.83707210892541e+02,-7.48121715117286e+03, 1.33153171974806e+03
0026,-3.22170088483533e+06, 1.78336304639281e+06, 5.80166501244732e+06,-9.63064391143212e+02,-7.35085212877057e+03, 1.73429414540919e+03
0027,-3.71684465426014e+06, 2.05819383777354e+06, 5.40089142261872e+06,-1.29711895604813e+03,-7.26176072522813e+03, 1.88482417090178e+03
0028,-4.23028870874297e+06, 2.33800285936338e+06, 4.88471664948519e+06,-1.70066825197881e+03,-7.15667352928165e+03, 1.96376254616443e+03
0029,-4.74312824617402e+06, 2.62436605836940e+06, 4.22355350658770e+06,-2.17690094091696e+03,-7.03342420711320e+03, 1.93843748794274e+03
0030,-5.22608872010953e+06, 2.89445940905384e+06, 3.39611831884842e+06,-2.69487980360773e+03,-6.90185491136154e+03, 1.75123905434484e+03
0031,-5.63609969373741e+06, 3.11728689309326e+06, 2.39597994426057e+06,-3.18478863038539e+03,-6.78148492859536e+03, 1.35389544184101e+03
0032,-5.91137769873620e+06, 3.27648776061253e+06, 1.24262166478448e+06,-3.55911566223289e+03,-6.68859822141375e+03, 7.48156259802162e+02
0033,-6.57360201297933e+06, 1.76689981174478e+06, 9.08373445879706e+05, 2.19724994271250e+03, 6.48775525336284e+03, 3.33539262178188e+03
0034,-6.01315838391746e+06, 3.32653616854570e+06, 0.00000000000000e+00,-3.69231132746105e+03,-6.65816523411769e+03, 0.00000000000000e+00
0035,-5.91137769873620e+06, 3.27648776061253e+06,-1.24262166478448e+06,-3.55911566223289e+03,-6.68859822141375e+03,-7.48156259802162e+02
0036,-5.63609969373741e+06, 3.11728689309326e+06,-2.39597994426057e+06,-3.18478863038539e+03,-6.78148492859536e+03,-1.35389544184101e+03
0037,-6.05614051840139e+06, 1.98147329764612e+06,-2.57454481116380e+06,-2.02648769520198e+03,-7.28741237702657e+03,-8.61486513517495e+02
0038,-5.28883338648750e+06, 2.72776831216224e+06,-3.43689227472795e+06,-2.53998915041096e+03,-6.98479638857201e+03,-1.65058500637282e+03
0039,-4.74312824617402e+06, 2.62436605836940e+06,-4.22355350658770e+06,-2.17690094091696e+03,-7.03342420711320e+03,-1.93843748794274e+03
0040,-4.23028870874297e+06, 2.33800285936338e+06,-4.88471664948519e+06,-1.70066825197881e+03,-7.15667352928165e+03,-1.96376254616443e+03
0041,-3.72705717160619e+06, 2.00000951997181e+06,-5.41573107895853e+06,-1.26056341359908e+03,-7.28172890461075e+03,-1.83170585845470e+03
0042,-3.30530215968612e+06, 9.33257812746418e+05,-5.95221486441553e+06,-5.05694624846122e+02,-7.54176031625041e+03,-9.10658970782278e+02
0043,-2.30563863456272e+06, 1.27119412693866e+06,-6.34687866350397e+06,-4.83707210892541e+02,-7.48121715117286e+03,-1.33153171974806e+03
0044,-1.66759608075902e+06, 6.04060071576864e+05,-6.63634998247300e+06, 7.38654398289640e+03, 1.68341548186990e+02,-1.84944094623551e+03
0045,-6.47640497689611e+05, 6.19965119619820e+05, 6.81108668543963e+06,-7.58186692268494e+03,-6.50816806702580e+01,-7.15003077836149e+02
0046,-1.84073976538929e+06, 1.77719424159730e+06, 6.37650959433331e+06,-5.48529336977236e+02,-7.35350814697236e+03, 1.90016136217328e+03
0047,-2.22839030862202e+06, 2.14793432006401e+06, 6.13423226508108e+06,-8.15497489050952e+02,-7.23043627226000e+03, 2.24487200023874e+03
0048,-2.62308104445845e+06, 2.52613094167458e+06, 5.82645327077357e+06,-1.15243994272255e+03,-7.07822435311150e+03, 2.55982844595342e+03
0049,-3.02136467312910e+06, 2.91177699596844e+06, 5.44089794196811e+06,-1.57021542149504e+03,-6.89344900372125e+03, 2.82765663186596e+03
0050,-3.80335423755827e+06, 3.66862251603928e+06, 4.39173518575555e+06,-2.66607904108483e+03,-6.43382752134691e+03, 3.07852290410228e+03
0051,-4.16285068673809e+06, 4.01768624995115e+06, 3.70684107678429e+06,-3.33012382320805e+03,-6.17221889090401e+03, 2.96533330344311e+03
0052,-4.48122398788800e+06, 4.31859295226013e+06, 2.91207587379237e+06,-4.01829290872967e+03,-5.91725729096302e+03, 2.61124502255858e+03
0053,-4.73022374053073e+06, 4.55993166567530e+06, 2.01088018843424e+06,-4.65616217554562e+03,-5.69048011801483e+03, 1.97939564522398e+03
0054,-4.89106475660455e+06, 4.71506867114507e+06, 1.02814324175564e+06,-5.11932046264259e+03,-5.53300429158508e+03, 1.07612452461196e+03
0055,-5.90358929337091e+06, 3.40859603758443e+06, 8.36603003451099e+05, 3.88605925987570e+03, 6.36310239071872e+03, 1.56175460883145e+03
0056,-4.94278881030902e+06, 4.77286003348028e+06, 0.00000000000000e+00,-5.29519478177513e+03,-5.47180697801956e+03, 0.00000000000000e+00
0057,-4.89106475660455e+06, 4.71506867114507e+06,-1.02814324175564e+06,-5.11932046264259e+03,-5.53300429158508e+03,-1.07612452461196e+03
0058,-4.73022374053073e+06, 4.55993166567530e+06,-2.01088018843424e+06,-4.65616217554562e+03,-5.69048011801483e+03,-1.97939564522398e+03
0059,-4.48122398788800e+06, 4.31859295226013e+06,-2.91207587379237e+06,-4.01829290872967e+03,-5.91725729096302e+03,-2.61124502255858e+03
0060,-4.16285068673809e+06, 4.01768624995115e+06,-3.70684107678429e+06,-3.33012382320805e+03,-6.17221889090401e+03,-2.96533330344311e+03
0061,-4.64429892692267e+06, 2.92377970590486e+06,-4.13555021082727e+06,-2.42470706753557e+03,-6.88674635928691e+03,-2.15909827987435e+03
0062,-3.41785510727397e+06, 3.29605595315641e+06,-4.96643417998971e+06,-2.07487463718114e+03,-6.67718653947975e+03,-3.01496932838360e+03
0063,-3.02136467312910e+06, 2.91177699596844e+06,-5.44089794196811e+06,-1.57021542149504e+03,-6.89344900372125e+03,-2.82765663186596e+03
0064,-2.67951597615150e+06, 2.14676174395590e+06,-5.95180795359724e+06,-9.79826613402355e+02,-7.23060289897160e+03,-2.17641539841472e+03
0065,-2.29808603902312e+06, 1.38324331409970e+06,-6.32608815159729e+06,-5.26109370333531e+02,-7.45669723208922e+03,-1.44825485103509e+03
0066,-1.27155381712566e+06, 1.22229759874617e+06,-6.64005704760573e+06,-7.48525221968817e+03,-2.53660388911039e+02, 1.37799456925627e+03
0067,-7.23542377418542e+05, 6.19271398423577e+05,-6.80346529666527e+06, 7.57258093382926e+03, 7.34707220416949e+01,-8.07167114457480e+02
0068,-3.74264334860699e+05, 6.21827519765689e+05, 6.83154746369158e+06,-7.60430648421159e+03,-3.76085340327793e+01,-4.13176447034064e+02
0069,-5.64198237510402e+05, 6.20639097245211e+05, 6.81849116657140e+06,-7.59000660151827e+03,-5.66958929489982e+01,-6.22874786602247e+02
0070,-1.21949342458170e+06, 1.22402857721619e+06, 6.64946048241645e+06, 7.49436470732700e+03, 2.44717108240556e+02, 1.32941074326682e+03
0071,-1.73537538750772e+06, 2.83694049150686e+06, 6.01151668273579e+06,-8.74330258440004e+02,-6.93239936021674e+03, 3.02876886042582e+03
0072,-1.73009745723127e+06, 2.87848229921870e+06, 5.99323339594056e+06,-8.87102200601496e+02,-6.91130439572466e+03, 3.07301216589589e+03
0073,-2.32884685619036e+06, 3.87499278646480e+06, 5.17289292721128e+06,-1.76622229645639e+03,-6.28374159886727e+03, 3.92317717282965e+03
0074,-2.59501125109823e+06, 4.31576965854587e+06, 4.67311725097448e+06,-2.32573312008629e+03,-5.91997905748592e+03, 4.18819901456628e+03
0075,-2.83580897910736e+06, 4.70917047274165e+06, 4.12067164924191e+06,-2.96285765322747e+03,-5.53914515068497e+03, 4.30528417899185e+03
0076,-3.04147755737605e+06, 5.06095603013108e+06, 3.51199577297055e+06,-3.67640704686077e+03,-5.14382514277091e+03, 4.24514919631141e+03
0077,-3.61993680059392e+06, 5.34446504761571e+06, 2.35237753126259e+06,-4.97174316313635e+03,-4.77870762069906e+03, 3.23083455662858e+03
0078,-4.26278578670149e+06, 5.07454292112694e+06, 1.81216617991421e+06,-5.18108012274032e+03,-5.12749486786585e+03, 2.20254515325317e+03
0079,-4.37882654096474e+06, 5.21389712845893e+06, 9.20466429898287e+05,-5.66038406181882e+03,-4.95282688979967e+03, 1.18986067625498e+03
